405-425nm,435-455nm,470-490nm,505-525nm,545-565nm,580-600nm,620-640nm,670-690nm,clear,nir
12739,39016,11229,30538,24438,16145,19534,14704,65535,5927
6366,17054,5500,13025,17172,12088,13315,10447,65535,4377
12764,39999,11220,29292,34353,23238,27736,21215,65535,7078
8781,26749,7990,20088,21494,14014,16962,12774,65535,5419
10029,31163,9168,23557,22903,15013,18311,13789,65535,5706
9073,28077,8328,21362,15313,9862,12065,8833,65535,4345
6250,17726,5674,13632,12971,8201,10169,7205,65535,3836
5941,16593,5395,12836,11265,7000,8806,6159,65535,3461
4769,12785,4365,9881,7914,4759,6109,4142,65535,2577
2472,5776,2183,4380,5411,3179,4163,2723,51571,1834
