l.p.,Parametr,Drukarka,Sensor
1,N-NH4,1,AS7341
2,N-NH4,1,AS7262
3,N-NH4,0.35,AS7262
4,N-NH4,0.35,AS7341
5,N-NH4,0.5,AS7262
6,N-NH4,0.5,AS7341
7,N-NH4,2,AS7262
8,N-NH4,2,AS7341
9,N-NH4,3.3,AS7262
10,N-NH4,3.3,AS7341
11,N-NH4,4,AS7262
12,N-NH4,4,AS7341
13,N-NH4,0,AS7262
14,N-NH4,0,AS7341
15,Cu,0.5,AS7262
16,Cu,0.5,AS7341
17,Cu,1,AS7262
18,Cu,1,AS7341
19,Cu,2,AS7262
20,Cu,2,AS7341
21,Cu,3,AS7262
22,Cu,3,AS7341
23,Cu,4,AS7262
24,Cu,4,AS7341
25,Cu,5,AS7262
26,Cu,5,AS7341
27,H2O,,AS7262
28,H2O,,AS7341
29,Cu,6,AS7262
30,Cu,6,AS7341
31,H2OCu,,AS7262
32,H2OCu,,AS7341
33,AkwariumCu,0.34,AS7262
34,AkwariumCu,0.34,AS7341
35,PO4,0.4,AS7262
36,PO4,0.4,AS7341
37,PO4,1,AS7262
38,PO4,1,AS7341
39,PO4,1.4,AS7262
40,PO4,1.4,AS7341
41,PO4,2,AS7262
42,PO4,2,AS7341
43,H2OPO4,,AS7262
44,H2OPO4,,AS7341
45,AkwariumPO4,,AS7262
46,AkwariumPO4,,AS7341
47,AkwariumNH4,,AS7262
48,AkwariumNH4,,AS7341
